LAN;R;G;B
FR;89;175;114
EN;97;103;115
DE;78;111;113
ES;111;174;105
CT;117;164;107
IT;96;170;129
RU;255;58;123
PL;200;55;169
UK;251;83;172
RO;89;182;123
NL;88;84;107
GR;139;108;111
HU;121;99;128
FI;140;255;65
EE;151;214;84
CZ;189;86;143
PT;115;168;107
SW;85;92;127
SR;186;80;160
BU;204;66;171
HR;189;78;161
DN;79;91;121
AL;60;123;183
SK;202;93;144
NO;80;89;120
BL;224;52;141
LT;243;142;37
GA;113;168;108
BH;187;80;160
SV;194;69;168
LV;212;145;60
SC;136;211;255
MK;188;79;161
EU;97;55;81
WA;138;246;154
ML;42;137;16
LU;59;99;115
IS;16;16;118
IR;137;199;240
